# GPUs,global batch,micro batch,hidden size,attention heads,# layers,sequence length,tensor parallelism,data parallelism,pipeline parallelism,iteration time (ms)
4,16,2,1024,16,16,1024,4,1,1,456.830731
2,16,2,2048,16,20,1024,1,1,2,589.896325
8,8,2,1024,16,12,1024,4,2,1,89.260725
8,8,1,1024,16,16,1024,2,2,2,147.832083
8,16,2,2048,16,16,1024,4,2,1,202.065798
8,32,1,1024,16,16,1024,1,8,1,229.059111
4,32,1,2048,16,16,1024,1,2,2,624.764216
8,32,1,2048,16,16,1024,1,4,2,335.24868
4,32,8,2048,16,16,1024,2,2,1,381.284427
8,4,1,2048,16,12,1024,1,2,4,79.662266
4,64,8,1024,16,20,1024,1,4,1,409.042087
8,32,8,1024,16,20,1024,4,2,1,211.774411
4,16,4,2048,16,12,1024,4,1,1,273.248602
8,4,1,1024,16,16,1024,4,2,1,118.579025
2,4,1,2048,16,20,1024,1,1,2,217.101996
8,16,8,1024,16,12,1024,8,1,1,120.945481
2,8,2,2048,16,24,1024,1,1,2,375.220561
4,16,2,2048,16,20,1024,1,2,2,331.356111
8,8,1,1024,16,20,1024,2,1,4,208.179462
8,16,4,2048,16,24,1024,4,1,2,333.443786
4,64,1,2048,16,20,1024,1,4,1,1242.145031
8,8,4,2048,16,12,1024,4,1,2,109.11705
4,16,4,1024,16,16,1024,2,1,2,154.53795
4,16,2,2048,16,24,1024,4,1,1,572.073594
8,64,2,2048,16,24,1024,1,4,2,683.576524
8,8,2,2048,16,12,1024,4,2,1,81.181374
8,8,1,2048,16,20,1024,4,2,1,261.412929
8,32,4,2048,16,20,1024,1,2,4,466.787192
4,16,2,1024,16,24,1024,1,2,2,237.95853
4,16,1,2048,16,20,1024,4,1,1,1015.980401
4,8,2,2048,16,12,1024,2,1,2,165.281361
8,16,2,1024,16,12,1024,1,4,2,82.835148
8,16,8,2048,16,16,1024,2,1,4,258.702312
4,16,1,1024,16,12,1024,2,2,1,351.742554
2,16,8,1024,16,20,1024,2,1,1,252.958377
8,2,1,1024,16,24,1024,8,1,1,245.140144
8,128,4,1024,16,16,1024,1,8,1,403.959736
4,8,4,2048,16,20,1024,1,1,4,305.03511
8,8,4,2048,16,20,1024,8,1,1,198.240869
4,16,1,1024,16,16,1024,2,2,1,459.135142
8,8,1,1024,16,16,1024,2,4,1,118.536198
4,16,2,1024,16,16,1024,2,1,2,288.983882
4,16,2,1024,16,24,1024,2,2,1,366.155818
8,64,8,1024,16,16,1024,1,4,2,277.38582
8,4,1,1024,16,20,1024,4,1,2,183.531886
4,8,2,2048,16,12,1024,1,2,2,136.501457
8,8,1,2048,16,16,1024,1,4,2,116.814378
8,16,2,1024,16,24,1024,1,2,4,180.014786
8,16,2,2048,16,12,1024,4,2,1,156.545094
8,64,8,2048,16,12,1024,2,4,1,295.338839
8,16,8,2048,16,12,1024,8,1,1,170.823404
8,4,1,2048,16,24,1024,2,1,4,163.755112
4,4,2,1024,16,20,1024,4,1,1,142.164269
4,32,8,1024,16,12,1024,2,2,1,160.850705
2,2,1,1024,16,24,1024,2,1,1,170.69921
4,16,1,2048,16,20,1024,1,2,2,394.376778
8,16,2,2048,16,20,1024,2,1,4,303.600582
4,64,8,2048,16,12,1024,1,4,1,552.450378
8,32,4,2048,16,16,1024,2,2,2,292.516255
4,8,2,2048,16,20,1024,2,2,1,213.381988
8,4,1,2048,16,12,1024,4,1,2,104.867598
2,16,4,2048,16,16,1024,1,1,2,505.039399
8,32,1,1024,16,16,1024,4,2,1,931.530815
4,32,4,1024,16,12,1024,2,2,1,183.13627
8,128,2,1024,16,20,1024,1,8,1,602.622679
8,32,1,2048,16,24,1024,1,2,4,551.802996
4,16,1,1024,16,20,1024,1,2,2,326.428597
8,16,1,1024,16,16,1024,8,1,1,1310.758418
2,32,2,2048,16,12,1024,1,2,1,628.747597
8,4,1,2048,16,16,1024,4,2,1,109.715327
2,2,1,1024,16,12,1024,2,1,1,89.176142
4,16,1,2048,16,16,1024,1,2,2,333.51848
4,16,4,2048,16,24,1024,2,1,2,416.298819
8,8,4,2048,16,20,1024,2,1,4,183.602746
2,4,2,1024,16,12,1024,1,1,2,80.992848
8,64,1,2048,16,16,1024,1,8,1,527.755546
8,16,2,2048,16,24,1024,4,2,1,293.094406
2,2,1,2048,16,20,1024,1,1,2,131.34385
4,8,4,2048,16,12,1024,2,1,2,135.554395
4,32,4,1024,16,24,1024,1,4,1,288.852058
4,16,8,1024,16,24,1024,1,1,4,327.662652
4,4,1,1024,16,16,1024,1,1,4,112.626697
8,16,1,1024,16,12,1024,2,2,2,205.092397
8,8,1,2048,16,12,1024,8,1,1,481.74482
8,8,4,2048,16,20,1024,4,1,2,169.56617
2,8,2,1024,16,20,1024,1,1,2,203.664254
8,16,2,2048,16,20,1024,8,1,1,651.345953
8,16,1,1024,16,12,1024,4,2,1,356.355535
8,4,1,1024,16,20,1024,4,2,1,146.579377
4,8,1,1024,16,24,1024,2,2,1,339.893246
4,8,1,2048,16,20,1024,1,1,4,271.516548
2,4,2,2048,16,12,1024,1,1,2,132.290957
8,2,1,1024,16,16,1024,4,1,2,89.183578
4,8,2,1024,16,16,1024,1,2,2,102.130696
8,16,4,1024,16,20,1024,4,2,1,170.277533
8,8,2,1024,16,12,1024,2,1,4,92.70732
4,16,4,2048,16,20,1024,4,1,1,433.759402
4,32,8,2048,16,12,1024,1,2,2,451.187493
8,8,2,2048,16,12,1024,8,1,1,202.332193
8,16,2,2048,16,20,1024,2,2,2,263.148217
4,8,1,1024,16,12,1024,2,1,2,204.354997
8,32,2,2048,16,16,1024,1,2,4,370.569469
2,16,1,2048,16,20,1024,1,1,2,731.650872
8,64,1,2048,16,16,1024,2,4,1,951.470618
4,8,2,2048,16,16,1024,1,2,2,168.057213
8,8,2,2048,16,20,1024,8,1,1,327.133057
8,8,1,2048,16,12,1024,2,1,4,146.069744
8,64,2,2048,16,12,1024,1,4,2,420.066909
8,4,1,2048,16,16,1024,2,1,4,115.10848
8,32,8,1024,16,24,1024,1,2,4,329.056852
8,32,2,1024,16,20,1024,1,4,2,206.193254
8,16,4,1024,16,24,1024,8,1,1,374.045649
2,16,4,2048,16,20,1024,1,1,2,594.913677
8,32,4,2048,16,12,1024,2,4,1,179.608584
4,32,1,2048,16,20,1024,1,4,1,637.375167
8,32,4,2048,16,12,1024,1,2,4,340.77133
4,8,4,1024,16,20,1024,4,1,1,169.280733
4,8,4,2048,16,24,1024,2,1,2,250.607749
4,32,4,2048,16,20,1024,2,2,1,549.799998
4,8,4,1024,16,24,1024,4,1,1,200.815881
4,64,2,1024,16,24,1024,1,4,1,704.896015
8,16,8,1024,16,12,1024,4,1,2,105.406619
8,16,2,1024,16,20,1024,1,2,4,157.506134
4,32,2,1024,16,24,1024,2,2,1,726.342614
4,2,1,2048,16,20,1024,1,1,4,111.34245
2,32,8,2048,16,24,1024,1,2,1,962.740116
4,4,2,1024,16,12,1024,1,1,4,72.007118
4,8,2,2048,16,12,1024,1,1,4,182.983757
8,4,1,1024,16,16,1024,2,1,4,107.092355
4,4,2,2048,16,16,1024,4,1,1,101.99717
2,32,4,2048,16,24,1024,1,2,1,1025.754737
8,8,2,1024,16,20,1024,2,1,4,143.138964
2,4,1,2048,16,20,1024,1,2,1,185.06917
2,8,4,2048,16,20,1024,1,1,2,349.041385
8,16,2,2048,16,12,1024,1,4,2,137.884557
4,4,1,2048,16,24,1024,4,1,1,306.992309
8,16,4,2048,16,12,1024,2,2,2,137.745295
8,32,1,2048,16,24,1024,1,4,2,454.874387
2,4,2,1024,16,20,1024,2,1,1,154.666852
8,32,4,2048,16,16,1024,4,2,1,356.214102
4,32,1,2048,16,16,1024,2,2,1,949.740418
8,2,1,2048,16,12,1024,4,1,2,62.92523
4,2,1,1024,16,24,1024,1,1,4,106.553691
2,2,1,2048,16,16,1024,1,1,2,109.896578
4,16,1,2048,16,20,1024,2,2,1,593.529712
8,16,2,1024,16,24,1024,8,1,1,801.888202
8,16,2,1024,16,12,1024,4,2,1,176.580911
4,16,8,2048,16,12,1024,2,1,2,228.652824
2,2,1,1024,16,16,1024,1,1,2,88.448435
8,16,1,2048,16,12,1024,8,1,1,961.606972
8,16,4,1024,16,24,1024,2,1,4,163.12146
8,16,4,1024,16,24,1024,4,2,1,201.956081
4,4,1,2048,16,16,1024,2,1,2,156.714032
2,4,2,1024,16,12,1024,2,1,1,96.260116
4,16,1,2048,16,24,1024,4,1,1,1208.107121
4,8,4,1024,16,16,1024,4,1,1,137.745585
8,2,1,2048,16,20,1024,2,1,4,98.180078
8,128,2,2048,16,12,1024,1,8,1,627.663104
8,32,2,2048,16,24,1024,2,4,1,486.004851
4,8,2,1024,16,16,1024,4,1,1,229.172775
4,64,1,2048,16,12,1024,1,4,1,816.349027
2,16,4,2048,16,16,1024,2,1,1,442.449708
8,32,4,1024,16,24,1024,4,2,1,400.559903
8,8,2,1024,16,16,1024,2,1,4,117.923142
2,8,4,2048,16,24,1024,2,1,1,329.453
2,16,1,2048,16,12,1024,1,1,2,507.50236
4,32,4,2048,16,20,1024,1,2,2,600.672167
8,64,2,1024,16,12,1024,1,4,2,258.15411
2,16,8,2048,16,12,1024,1,1,2,446.976993
4,32,1,1024,16,12,1024,1,4,1,350.143243
4,4,1,1024,16,24,1024,2,2,1,172.89141
4,16,2,1024,16,24,1024,4,1,1,669.524427
8,16,1,2048,16,20,1024,8,1,1,1576.329668
4,16,4,2048,16,24,1024,2,2,1,336.163798
4,64,8,1024,16,16,1024,1,4,1,343.432391
8,8,4,1024,16,12,1024,8,1,1,98.227609
4,32,2,1024,16,12,1024,1,4,1,201.975811
8,4,2,1024,16,20,1024,8,1,1,169.129914
8,8,1,1024,16,24,1024,1,2,4,156.493301
4,32,2,1024,16,24,1024,1,4,1,358.775583
8,64,4,2048,16,16,1024,1,8,1,378.99214
4,16,1,2048,16,24,1024,2,1,2,760.096736
8,16,1,2048,16,12,1024,2,4,1,192.155006
8,8,1,2048,16,16,1024,2,2,2,159.412832
4,16,4,2048,16,12,1024,2,1,2,226.576773
2,16,1,1024,16,20,1024,1,1,2,614.625093
8,16,1,1024,16,20,1024,4,2,1,577.619935
4,16,1,2048,16,16,1024,4,1,1,823.853681
8,64,1,1024,16,24,1024,2,4,1,1342.611962
4,16,2,2048,16,16,1024,1,2,2,281.162281
8,8,1,2048,16,16,1024,4,2,1,212.122249
2,16,4,1024,16,16,1024,2,1,1,233.09307
8,4,1,2048,16,12,1024,2,1,4,90.785164
4,4,1,1024,16,12,1024,1,2,2,71.351295
8,8,1,1024,16,16,1024,1,4,2,90.634135
8,4,2,2048,16,20,1024,2,1,4,133.827102
8,8,2,2048,16,24,1024,2,2,2,189.570219
2,4,1,2048,16,12,1024,1,1,2,148.314028
4,8,4,2048,16,20,1024,2,1,2,212.256631
4,16,2,2048,16,16,1024,2,2,1,332.9522
